# time, X, Y, Z
0.000000000000000000e+00,-2.444001437017089222e+06,-1.631195859778800746e+06,1.945723130712932209e+06
1.500000000000000000e+02,-2.613262786679388024e+06,-1.835752172112952219e+06,1.491333107192528900e+06
5.448184232711791992e+02,-2.778176810617684387e+06,-2.172054143148208037e+06,1.665479555528206984e+05
1.040472170472145081e+03,-2.398859902687204070e+06,-2.132344828479729127e+06,-1.506773465844540158e+06
1.640472170472145081e+03,-1.216381492336350959e+06,-1.436479151984062977e+06,-3.035747805104903877e+06
2.240472170472145081e+03,3.676324850146559766e+05,-2.703726415263375384e+05,-3.570243015868600458e+06
2.840472170472145081e+03,1.837627123280267697e+06,9.829616688010606449e+05,-2.958242578762278426e+06
3.440472170472145081e+03,2.727557114722124767e+06,1.925051404801333789e+06,-1.406842709612404462e+06
4.040472170472145081e+03,2.754419528595917858e+06,2.257706407870206982e+06,5.894772477839597268e+05
4.640472170472145081e+03,1.901890784197150730e+06,1.870447225603526225e+06,2.394272234873198904e+06
5.240472170472145081e+03,4.324411085181808448e+05,8.784681201491625980e+05,3.418051007692179177e+06
5.840472170472145081e+03,-1.180611849169551395e+06,-4.022655846720288973e+05,3.305527983769470826e+06
6.440472170472145081e+03,-2.394764020185371861e+06,-1.545165187472465215e+06,2.072088483974745031e+06
6.787235218882560730e+03,-2.739187882228479255e+06,-1.983107169688611757e+06,9.957133822398665361e+05
7.194727741241455078e+03,-2.734875076004396193e+06,-2.199947869425565936e+06,-4.071480142618477112e+05
7.794727741241455078e+03,-1.955035377303737681e+06,-1.887852974416021490e+06,-2.292269217123358045e+06
8.394727741241455078e+03,-5.233526002181694494e+05,-9.489672417312315665e+05,-3.415471323241600301e+06
8.994727741241455078e+03,1.081901097563145449e+06,2.981401720399058540e+05,-3.429558717298723292e+06
9.594727741241455078e+03,2.345779263687989675e+06,1.450753968873060774e+06,-2.347979598208304960e+06
1.019472774124145508e+04,2.868589297924803104e+06,2.143864371000335552e+06,-5.218137168666130747e+05
1.079472774124145508e+04,2.480819649977581110e+06,2.156091159450822510e+06,1.468069332675283076e+06
1.139472774124145508e+04,1.296409730136550963e+06,1.476964138820947614e+06,2.982190229740381241e+06
1.199472774124145508e+04,-3.122043312853337848e+05,3.166825740070732427e+05,3.516177892555590253e+06
1.245166987371444702e+04,-1.496971749534062110e+06,-6.600786822872605408e+05,3.127587231685994659e+06
1.286892949843406677e+04,-2.323724495900488459e+06,-1.441207969384385506e+06,2.222163443986884318e+06
1.329358397805690765e+04,-2.763502694199802354e+06,-1.986425423068481963e+06,9.174603323446732247e+05
1.378606115555763245e+04,-2.670424932298946660e+06,-2.182633307787419762e+06,-7.784797219952053856e+05
1.438606115555763245e+04,-1.739495352751773782e+06,-1.748562537458111299e+06,-2.565968828225184232e+06
1.498606115555763245e+04,-2.300069852350014844e+05,-7.359804022687814431e+05,-3.503444699900627136e+06
1.558606115555763245e+04,1.357724674863794120e+06,5.151752616887979675e+05,-3.306409137932205107e+06
1.618606115555763245e+04,2.516439540038514417e+06,1.603042812669247156e+06,-2.054231616405659355e+06
1.678606115555763245e+04,2.878988681231166702e+06,2.182880211448160466e+06,-1.501916301150790823e+05
1.738606115555763245e+04,2.325122694588517770e+06,2.067796857268057996e+06,1.798993639252770226e+06
1.798606115555763245e+04,1.021924315512457746e+06,1.287437154646001058e+06,3.163486898976471741e+06
1.858606115555763245e+04,-6.171680362923665671e+05,8.595608924524475879e+04,3.483674897224158980e+06
1.918606115555763245e+04,-2.049179498619474936e+06,-1.142720952365278034e+06,2.629743597041469533e+06
1.969962922596931458e+04,-2.732237045456606895e+06,-1.896923105049049947e+06,1.163291521328908391e+06
2.022980462610721588e+04,-2.711564516800733749e+06,-2.170872429121961817e+06,-6.545907895589831751e+05
2.082980462610721588e+04,-1.825047280398478033e+06,-1.787107157735244837e+06,-2.476705970689403825e+06
2.142980462610721588e+04,-3.309216811944659567e+05,-8.114722152797268936e+05,-3.477383836212442257e+06
2.202980462610721588e+04,1.274093409326104214e+06,4.272459530482762493e+05,-3.350991981267331634e+06
2.262980462610721588e+04,2.476497222529519815e+06,1.530807116576821776e+06,-2.155116647322148085e+06
2.322980462610721588e+04,2.895326531237998512e+06,2.149916736905366648e+06,-2.752831849649530486e+05
2.382980462610721588e+04,2.392175671842858661e+06,2.085168379724237137e+06,1.689803010289692320e+06
2.442980462610721588e+04,1.118018446020144504e+06,1.349937556115854532e+06,3.105403725907917600e+06
2.502980462610721588e+04,-5.232773292302749469e+05,1.734261559375438665e+05,3.496264209470754024e+06
2.562980462610721588e+04,-1.989093742772960803e+06,-1.059626221657369519e+06,2.709618831578963902e+06
2.618549388909339905e+04,-2.748963399914565030e+06,-1.885983657424222212e+06,1.142588066259991843e+06
2.675522945427894592e+04,-2.685547433142153081e+06,-2.154726704851051793e+06,-8.095260279801490251e+05
2.735522945427894592e+04,-1.734016916613735724e+06,-1.727728450072871754e+06,-2.586698866797034163e+06
2.795522945427894592e+04,-2.065303586034738983e+05,-7.302371823227260029e+05,-3.508477029761071317e+06
2.855522945427894592e+04,1.391442698368010577e+06,5.033600704130375525e+05,-3.295964358536005951e+06
2.915522945427894592e+04,2.549920916721189395e+06,1.577618248906195862e+06,-2.033496016731047072e+06
2.975522945427894592e+04,2.902103552692668978e+06,2.153174276609840337e+06,-1.266822315297731839e+05
3.035522945427894592e+04,2.330066108420248143e+06,2.044387950800796738e+06,1.817984667986134533e+06
3.095522945427894592e+04,1.006165739085892914e+06,1.278106605682225665e+06,3.171519345113954041e+06
3.155522945427894592e+04,-6.486087411552092526e+05,9.381491395852745336e+04,3.477448447666977998e+06
3.215522945427894592e+04,-2.085600739175735041e+06,-1.120297995177675737e+06,2.611412443084864877e+06
3.266785163724422455e+04,-2.762713785669569857e+06,-1.867346102116874186e+06,1.143078246257849503e+06
3.319883116352558136e+04,-2.729980786545473151e+06,-2.144358776348564774e+06,-6.760875555340606952e+05
3.379883116352558136e+04,-1.824943163338558050e+06,-1.772943266135853482e+06,-2.490365486672285944e+06
3.439883116352558136e+04,-3.133785694889211445e+05,-8.156478831478119828e+05,-3.480376886832738761e+06
3.499883116352558136e+04,1.303330006538690533e+06,4.054897169926309143e+05,-3.344152259207755793e+06
3.559883116352558136e+04,2.508441057752673980e+06,1.498067548989879433e+06,-2.142056259262189269e+06
3.619883116352558136e+04,2.920865410060148686e+06,2.116820265556836035e+06,-2.615026067555034824e+05
3.679883116352558136e+04,2.404545885037610307e+06,2.063270060385742458e+06,1.699931511322087375e+06
3.739883116352558136e+04,1.113672389039351139e+06,1.347087726035159547e+06,3.109649701336425263e+06
3.799883116352558136e+04,-5.428198151518063387e+05,1.912122851192974776e+05,3.494380338650438003e+06
3.840398384082317352e+04,-1.592593944806015585e+06,-6.506391724882255075e+05,3.082406357669532765e+06
3.877859110474586487e+04,-2.343974318840961903e+06,-1.340510529524638550e+06,2.266308122132963967e+06
3.919647439706325531e+04,-2.803920544782659039e+06,-1.891947399613258662e+06,9.989853522895458154e+05
3.966923567450046539e+04,-2.754441199837818276e+06,-2.129442946111140773e+06,-6.247733964357262012e+05
4.026923567450046539e+04,-1.864332752603200497e+06,-1.785146432655327022e+06,-2.451704109237963334e+06
4.086923567450046539e+04,-3.545682850284468732e+05,-8.508265788680454716e+05,-3.466984291606036481e+06
4.146923567450046539e+04,1.273763143970695324e+06,3.588941694033348467e+05,-3.359560198120867368e+06
4.206923567450046539e+04,2.499567560860641766e+06,1.454747614367183531e+06,-2.180235685830513947e+06
4.266923567450046539e+04,2.934819454799596220e+06,2.089789617991465842e+06,-3.096469121627628920e+05
4.326923567450046539e+04,2.436624870005034842e+06,2.060265914212461328e+06,1.657148964167819126e+06
4.386923567450046539e+04,1.153844863362287171e+06,1.368644959915894782e+06,3.086079844821777195e+06
4.446923567450046539e+04,-5.076295102587018046e+05,2.302636418673092849e+05,3.498307456455997657e+06
4.488824880778789520e+04,-1.600687959462509491e+06,-6.345015637035799446e+05,3.082527176706048194e+06
4.527362707972526550e+04,-2.372889347018567845e+06,-1.338558256560462527e+06,2.238716939258749597e+06
4.569416623830795288e+04,-2.825043457019899040e+06,-1.884839861482433742e+06,9.565548951804687968e+05
4.617307508397102356e+04,-2.753696529347656295e+06,-2.113598177853557747e+06,-6.879624706039458979e+05
4.677307508397102356e+04,-1.834155422762961127e+06,-1.757025761141922558e+06,-2.496582439688092098e+06
4.737307508397102356e+04,-3.057928707673472818e+05,-8.204878038888748270e+05,-3.479838240373031702e+06
4.797307508397102356e+04,1.325283901161884656e+06,3.814871358258987893e+05,-3.336986951840247493e+06
4.857307508397102356e+04,2.537266455784743186e+06,1.462405136143356562e+06,-2.129165787293459754e+06
4.917307508397102356e+04,2.945780883919486310e+06,2.079603641561787343e+06,-2.455481618752915238e+05
4.977307508397102356e+04,2.415730066842768341e+06,2.034251943507496966e+06,1.713894984830075409e+06
5.037307508397102356e+04,1.106565879512802698e+06,1.333773751552526373e+06,3.115986346710821148e+06
5.097307508397102356e+04,-5.662681533713472309e+05,1.970401032132910623e+05,3.489904293299536686e+06
5.135982331192493439e+04,-1.579451075014416827e+06,-5.961556640770810191e+05,3.101020382801987231e+06
5.171840514159202576e+04,-2.319749252610661555e+06,-1.257083273429623805e+06,2.339661599680636078e+06
5.217055620658397675e+04,-2.834496452951530926e+06,-1.858784099518937059e+06,9.797317878265894251e+05
5.268410958218574524e+04,-2.743600568814294878e+06,-2.096096081026576227e+06,-7.813317113825498382e+05
5.328410958218574524e+04,-1.783285373111970723e+06,-1.716528703642781591e+06,-2.562717728287014645e+06
5.388410958218574524e+04,-2.317343162607092236e+05,-7.710213098325743340e+05,-3.497940027717552613e+06
5.448410958218574524e+04,1.398517237712422619e+06,4.237900741286597913e+05,-3.302100417402158026e+06
5.508410958218574524e+04,2.586284700388994999e+06,1.484077571905460674e+06,-2.052400369851210155e+06
5.568410958218574524e+04,2.954269676020039245e+06,2.073393526394221699e+06,-1.507957436650138989e+05
5.628410958218574524e+04,2.379455943352293689e+06,2.001225615288075292e+06,1.796401979149539256e+06
5.688410958218574524e+04,1.035699215348395170e+06,1.283391177925394615e+06,3.158314490488457028e+06
5.748410958218574524e+04,-6.489602530942825833e+05,1.449576077563559229e+05,3.476030143383545801e+06
5.788594957935810089e+04,-1.690113972458529752e+06,-6.696577031272838358e+05,3.024926793313162867e+06
5.824607594919204712e+04,-2.405194905451077968e+06,-1.314687058949412312e+06,2.217313593272037804e+06
5.866790015363693237e+04,-2.854428604546327610e+06,-1.855053303891479038e+06,9.259004309720128076e+05
