# time, X, Y, Z
0.000000000000000000e+00,1.568806025499121053e+06,2.006296340245819651e+06,2.407534296460615471e+06
1.500000000000000000e+02,1.138315085647239815e+06,1.926325509689779254e+06,2.697834786569154821e+06
3.098278411626815796e+02,6.518604471586839063e+05,1.794127024658749346e+06,2.940772333217350766e+06
4.729953151941299438e+02,1.382012239767833089e+05,1.612608645318019437e+06,3.112000025859725662e+06
7.046534528732299805e+02,-5.943551132468519500e+05,1.283686963354705600e+06,3.213722610887845047e+06
8.012020838260650635e+02,-8.927063327244258253e+05,1.125524691310023423e+06,3.205947907400044147e+06
8.622130522727966309e+02,-1.077217186672295909e+06,1.020164089043402229e+06,3.185801146659210324e+06
8.827948228120803833e+02,-1.138609129863000941e+06,9.837594738213997334e+05,3.176358484698304906e+06
9.018786908388137817e+02,-1.195111696277878946e+06,9.496379952777564758e+05,3.166416014614345971e+06
9.040663634538650513e+02,-1.201561998282278189e+06,9.457045441715008346e+05,3.165203464403388090e+06
9.059497096538543701e+02,-1.207110491403955733e+06,9.423147105398067506e+05,3.164147614216602407e+06
9.115997481346130371e+02,-1.223730736729053082e+06,9.321255493405516027e+05,3.160913612209480256e+06
9.285498634576797485e+02,-1.273359863032500725e+06,9.013839138017859077e+05,3.150614502275472507e+06
9.746639910936355591e+02,-1.406526282190819969e+06,8.164867711544606136e+05,3.118084250994209200e+06
1.090164935231208801e+03,-1.726614279554952867e+06,5.967666392617189558e+05,3.008103084184675943e+06
1.230187368869781494e+03,-2.084072714910898358e+06,3.202268454414026928e+05,2.822024025325197261e+06
1.390013485193252563e+03,-2.442954206653415691e+06,-2.600002137851160114e+03,2.543551621005737223e+06
1.657848552227020264e+03,-2.904259368962142151e+06,-5.393430339960684069e+05,1.938793840276890900e+06
1.754403694272041321e+03,-3.022356844319943339e+06,-7.255345815949644893e+05,1.685169878924970282e+06
1.792387718319892883e+03,-3.061367739627430215e+06,-7.970704136974567082e+05,1.581079897257288918e+06
1.810791554093360901e+03,-3.078730180917332415e+06,-8.313348996831823606e+05,1.529840971622599522e+06
1.821730512976646423e+03,-3.088570975765726063e+06,-8.515723223370435880e+05,1.499145967244974338e+06
1.825281152248382568e+03,-3.091688128144328948e+06,-8.581199609819856705e+05,1.489145192322912393e+06
1.828361725687980652e+03,-3.094361966562069487e+06,-8.637922568986297119e+05,1.480453651518796803e+06
1.837603446006774902e+03,-3.102212453798285685e+06,-8.807611886457864894e+05,1.454297588951715035e+06
1.865328606843948364e+03,-3.124219519635889214e+06,-9.312243537687935168e+05,1.375115552379079862e+06
1.948504089355468750e+03,-3.176219235532882623e+06,-1.078301846976322820e+06,1.131667641593340086e+06
2.056317022323608398e+03,-3.211954656746593304e+06,-1.258065444075756241e+06,8.051036011421753792e+05
2.175999801874160767e+03,-3.209419988823069725e+06,-1.441012329288463807e+06,4.322134836635768879e+05
2.277279615998268127e+03,-3.172676608948972542e+06,-1.580402523653799435e+06,1.118451263044279331e+05
2.299320967316627502e+03,-3.160514739725797903e+06,-1.608717887133566663e+06,4.187535372082848335e+04
2.306837647199630737e+03,-3.156029257858522702e+06,-1.618203070016779704e+06,1.800834670630682012e+04
2.310328567028045654e+03,-3.153887774442699738e+06,-1.622578364292702638e+06,6.923658190333622770e+03
2.314524893045425415e+03,-3.151264656647254713e+06,-1.627812620271320222e+06,-6.400901494258073399e+03
2.318094143748283386e+03,-3.148991534199188463e+06,-1.632243029053189559e+06,-1.773415565973944467e+04
2.328801895856857300e+03,-3.141940895367473364e+06,-1.645414192537535215e+06,-5.173160419980730512e+04
2.360925152182579041e+03,-3.118715073562681675e+06,-1.683835007130415412e+06,-1.536705887963411224e+05
2.454963860273361206e+03,-3.033058401137692388e+06,-1.786594235329290386e+06,-4.508049711991616059e+05
2.564174558281898499e+03,-2.901384772078839131e+06,-1.886899771188194398e+06,-7.908402587376454612e+05
2.715514926552772522e+03,-2.664602827900019940e+06,-1.990175329715953907e+06,-1.246190631679843646e+06
2.795251200437545776e+03,-2.516053573401317932e+06,-2.027233158488998655e+06,-1.475689707671712851e+06
2.889283537149429321e+03,-2.321336568023563363e+06,-2.055154535546359373e+06,-1.734671358309634961e+06
